"Name","Return"
"MMM","9.8516152445"
"AA","10.903182713"
"AXP","7.3167561183"
"AIG","1.3098396109"
"T","5.7389694803"
"BAC","4.5764601018"
"BA","11.148574262"
"CAT","16.212066726"
"CVX","11.916624118"
"C","7.3683167356"
"KO","-0.069542166"
"DD","0.2918526454"
"XOM","11.461247181"
"GE","4.4656530885"
"GM","-1.025926324"
"HPQ","11.457944433"
"HD","5.5677867075"
"INTC","12.909939532"
"IBM","13.346569376"
"JNJ","9.0100404726"
"JPM","6.2058510154"
"MCD","9.1908492539"
"MRK","1.2919267991"
"MSFT"," 7.733716553"
"PFE","-1.330692332"
"PG","7.2744536334"
"UTX","15.572389701"
"VZ","4.3182245106"
"WMT"," 9.838081853"
"DIS","3.6312187714"
"TM","10.664017204"
"BP","8.8619516911"
"GSK"," 1.590033536"
"ING"," 8.630744931"
"BIF"," 4.314731493"
